Report Number,Date Reported,City,crime_type,Victim Age,Victim Gender,Weapon Used,latitude,longitude,zone_type,crowd_density,severity_score,source,hour,is_night,day_of_week,safety_score,is_safe_route
RPT000000,2024-02-27 05:00:00,Kolkata,Harassment,33,Other,None,22.517006,88.379845,Commercial,11,4,news_report,5,1,1,3.63,0
RPT000001,2024-05-10 19:00:00,Hyderabad,Molestation,69,Other,None,17.361714,78.364745,Market,56,3,official_fir,19,0,0,6.44,1
RPT000002,2024-06-20 01:00:00,Chennai,Assault,13,Male,Sharp Object,13.02515,80.289485,Market,18,2,crowdsourced,1,1,3,6.2,1
RPT000003,2024-02-13 17:00:00,Chennai,Snatching,45,Female,Sharp Object,13.027645,80.252291,Park,11,2,news_report,17,0,1,6.87,1
RPT000004,2024-03-29 12:00:00,Mumbai,Burglary,71,Male,Sharp Object,19.11092,72.869119,Commercial,91,5,news_report,12,0,0,1.25,0
RPT000005,2024-05-14 08:00:00,Delhi,Harassment,17,Other,Poison,28.588234,77.175154,Slum,14,2,official_fir,8,0,3,6.07,1
RPT000006,2024-05-21 04:00:00,Delhi,Burglary,46,Other,Sharp Object,28.538492,77.263982,Market,44,1,official_fir,4,1,6,7.33,1
RPT000007,2024-05-22 04:00:00,Bengaluru,Assault,60,Other,Sharp Object,13.01138,77.463613,Slum,61,5,news_report,4,1,6,1.21,0
RPT000008,2024-05-07 11:00:00,Bengaluru,Molestation,75,Female,Blunt Object,13.052746,77.635787,Market,66,5,news_report,11,0,3,3.3,0
RPT000009,2024-06-03 06:00:00,Mumbai,Burglary,10,Male,Poison,19.065515,72.861319,Market,86,1,official_fir,6,0,5,6.08,1
RPT000010,2024-04-22 16:00:00,Delhi,Assault,53,Other,Poison,28.711156,77.201333,Market,41,1,crowdsourced,16,0,1,5.47,0
RPT000011,2024-03-08 05:00:00,Delhi,Snatching,10,Other,None,28.612574,77.186912,Industrial,62,4,news_report,5,1,6,3.5,0
RPT000012,2024-04-02 15:00:00,Bengaluru,Burglary,33,Male,Sharp Object,12.905506,77.561188,Industrial,79,3,official_fir,15,0,0,4.64,0
RPT000013,2024-03-22 00:00:00,Bengaluru,Harassment,76,Other,Poison,12.911746,77.67993,Park,80,4,crowdsourced,0,1,6,3.27,0
RPT000014,2024-05-08 15:00:00,Delhi,Assault,32,Other,None,28.67236,77.252666,Industrial,16,4,news_report,15,0,0,3.33,0
RPT000015,2024-06-14 16:00:00,Hyderabad,Harassment,28,Other,Sharp Object,17.390949,78.414698,Market,42,4,official_fir,16,0,3,4.97,0
RPT000016,2024-02-02 02:00:00,Kolkata,Snatching,34,Male,None,22.48011,88.422332,Market,91,2,news_report,2,1,4,6.42,1
RPT000017,2024-06-06 22:00:00,Hyderabad,Harassment,26,Male,Sharp Object,17.337275,78.54463,Park,68,3,news_report,22,1,5,2.9,0
RPT000018,2024-01-17 15:00:00,Hyderabad,Harassment,36,Female,Blunt Object,17.384428,78.507368,Market,37,1,crowdsourced,15,0,2,8.91,1
RPT000019,2024-06-08 19:00:00,Kolkata,Snatching,46,Male,Blunt Object,22.592439,88.352727,Market,62,3,crowdsourced,19,0,6,5.49,0
